month,orders,revenue
2016-09-01,1,134.97
2016-10-01,265,40325.11
2016-12-01,1,10.9
2017-01-01,750,111798.36
2017-02-01,1653,234223.4
2017-03-01,2546,359198.85
2017-04-01,2303,340669.68
2017-05-01,3546,489338.25
2017-06-01,3135,421923.37
2017-07-01,3872,481604.52
2017-08-01,4193,554699.7
2017-09-01,4150,607399.67
2017-10-01,4478,648247.65
2017-11-01,7289,987765.37
2017-12-01,5513,726033.19
2018-01-01,7069,924645.0
2018-02-01,6555,826437.13
2018-03-01,7003,953356.25
2018-04-01,6798,973534.09
2018-05-01,6749,977544.69
2018-06-01,6099,856077.86
2018-07-01,6159,867953.46
2018-08-01,6351,838576.64
